ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000112;3,02;0,18;9;0,67;;;;;;Sim/C/C07 Sim/C/C10 ;2,98 (0,43 | 1 | 0) 2,96 (0,33 | 2 | 0) 
P000113;2,79;0,21;8;0,75;Sim/B/B04;2,7;0,25;3;0,33;Sim/B/B04 ;2,7 (0,25 | 3 | 0,33) 
P000114;1,97;0,27;9;0,56;Sim/B/B02;2,13;0,31;3;0,33
P000114;1,97;0,27;9;0,56;Sim/B/B03;2;0,81;3;1;Sim/B/B01 Sim/B/B04 ;0,7 (0,97 | 2 | 0,5) 1,97 (1,99 | 1 | 0) 
P000115;1,8;0,29;7;0,71;Sim/B/B03;1,85;0,61;3;1;Sim/B/B02 ;1,68 (0,47 | 2 | 0) 
P000116;4,69;0,2;12;0,83;;;;;;Sim/C/C08 ;4,61 (0,32 | 2 | 0) 
P000117;-3,55;0,29;10;0,2;Sim/A/A01;-3,53;0,31;3;0,67
P000117;-3,55;0,29;10;0,2;Sim/A/A05;-3,56;1,06;3;0;Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-3,55 (27,59 | 2 | 0) -3,56 (1,06 | 3 | 0) -3,55 (564,21 | 1 | 0) -3,55 (7441,77 | 1 | 0) 
P000118;0,58;0,18;5;0,6;;;;;;Sim/B/B03 ;0,47 (0,41 | 1 | 0) 
P000119;1,61;0,29;6;0,67;Sim/B/B03;1,7;0,44;3;1;Sim/B/B01 Sim/B/B02 ;0,7 (0,97 | 2 | 0,5) 1,58 (0,73 | 1 | 0) 
P000120;1,8;0,29;7;0,71;Sim/B/B03;1,85;0,61;3;1;Sim/B/B02 ;1,68 (0,47 | 2 | 0) 
P000121;-0,17;0,22;4;0,5;;;;;;Sim/A/A04 Sim/B/B01 ;-0,36 (0,64 | 1 | 0) -0,22 (0,45 | 1 | 0) 
P000122;-2,88;0,25;8;0,13;Sim/A/A05;-2,88;0,25;4;0,25;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,88 (3,9 | 2 | 0) -2,88 (87,63 | 1 | 0) -2,88 (1014,31 | 1 | 0) 
P000123;2;0,28;7;0,71;Sim/B/B02;1,87;0,35;3;0,33;Sim/B/B02 ;1,87 (0,35 | 3 | 0,33) 
